Channels number ;3
Perturbation : 2
Instance name ;|I| ;|J|; H-inf value; H-inf time ; H-inf-reg value ; H-inf-reg time 
optim_instances/Instance_MAP4A_2_3.dat;56;41;190;0.374;90;1.652
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;0.095;130;0.095
optim_instances/Instance_MAP5A_0_2.dat;45;39;1200;0.167;910;4.029
optim_instances/Instance_MAP5A_0_3.dat;45;39;670;0.69;670;5.256
optim_instances/Instance_MAP5A_1_1.dat;78;70;180;0.614;150;60.907
optim_instances/Instance_MAP5A_1_2.dat;78;70;980;0.609;700;6.912
optim_instances/Instance_MAP5A_1_3.dat;78;70;820;1.217;320;14.611
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;0.42;210;0.42
optim_instances/Instance_MAP5A_2_2.dat;101;115;1500;1.808;930;16.947
optim_instances/Instance_MAP5A_2_3.dat;101;115;480;1.862;280;62.755
optim_instances/Instance_MAP6A_0_1.dat;92;84;320;5.514;260;17.312
optim_instances/Instance_MAP6A_0_2.dat;92;84;2420;2.618;1860;11.805
optim_instances/Instance_MAP6A_0_3.dat;92;84;3010;7.021;1420;70.803
optim_instances/Instance_MAP6A_1_1.dat;112;155;490;2.206;430;46.779
optim_instances/Instance_MAP6A_1_2.dat;112;155;3630;14.625;3620;66.352
optim_instances/Instance_MAP6A_1_3.dat;112;155;2960;7.402;2370;70.916
optim_instances/Instance_MAP6A_2_1.dat;181;175;700;101.087;520;1123.54
optim_instances/Instance_MAP6A_2_2.dat;181;175;5720;100.358;5720;387.612
optim_instances/Instance_MAP6A_2_3.dat;181;175;7190;102.086;7190;403.047
optim_instances/Instance_MAP1B_0_1.dat;19;13;30;0.035;30;0.035
optim_instances/Instance_MAP1B_0_2.dat;19;13;240;0.043;140;0.071
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;0.041;30;0.041
optim_instances/Instance_MAP1B_1_1.dat;13;23;30;0.023;30;0.023
optim_instances/Instance_MAP1B_1_2.dat;13;23;50;0.026;50;0.026
optim_instances/Instance_MAP1B_1_3.dat;13;23;20;0.027;20;0.027
optim_instances/Instance_MAP1B_2_1.dat;30;24;50;0.061;40;0.642
optim_instances/Instance_MAP1B_2_2.dat;30;24;180;0.105;180;3.723
optim_instances/Instance_MAP1B_2_3.dat;30;24;440;0.324;140;4.293
optim_instances/Instance_MAP2B_0_1.dat;22;24;50;0.031;50;0.031
optim_instances/Instance_MAP2B_0_2.dat;22;24;380;0.065;280;0.129
optim_instances/Instance_MAP2B_0_3.dat;22;24;30;0.045;30;0.045
optim_instances/Instance_MAP2B_1_1.dat;39;35;100;0.081;100;0.081
optim_instances/Instance_MAP2B_1_2.dat;39;35;860;0.083;860;0.083
optim_instances/Instance_MAP2B_1_3.dat;39;35;60;0.228;60;0.228
optim_instances/Instance_MAP2B_2_1.dat;47;56;140;0.411;80;2.315
optim_instances/Instance_MAP2B_2_2.dat;47;56;460;0.231;460;5.016
optim_instances/Instance_MAP2B_2_3.dat;47;56;160;0.538;60;3.537
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0.03;50;0.03
optim_instances/Instance_MAP3B_0_2.dat;18;25;390;0.053;300;0.131
optim_instances/Instance_MAP3B_0_3.dat;18;25;30;0.272;30;0.272
optim_instances/Instance_MAP3B_1_1.dat;45;40;130;0.318;110;4.301
optim_instances/Instance_MAP3B_1_2.dat;45;40;1090;0.549;840;4.47
optim_instances/Instance_MAP3B_1_3.dat;45;40;2130;1.605;850;6.736
optim_instances/Instance_MAP3B_2_1.dat;73;62;330;1.722;210;16.33
optim_instances/Instance_MAP3B_2_2.dat;73;62;2530;0.964;1940;7.561
optim_instances/Instance_MAP3B_2_3.dat;73;62;3470;4.332;1000;65.142
optim_instances/Instance_MAP4B_0_1.dat;26;38;60;0.034;60;0.034
optim_instances/Instance_MAP4B_0_2.dat;26;38;280;0.042;280;0.042
optim_instances/Instance_MAP4B_0_3.dat;26;38;140;0.074;40;0.719
optim_instances/Instance_MAP4B_1_1.dat;41;36;160;0.257;160;0.257
optim_instances/Instance_MAP4B_1_2.dat;41;36;1270;0.056;1270;0.056
optim_instances/Instance_MAP4B_1_3.dat;41;36;480;0.108;380;0.689
optim_instances/Instance_MAP4B_2_1.dat;56;41;200;0.15;200;0.15
optim_instances/Instance_MAP4B_2_2.dat;56;41;1440;0.265;1440;4.133
optim_instances/Instance_MAP4B_2_3.dat;56;41;190;0.448;190;4.381
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;0.09;130;0.09
optim_instances/Instance_MAP5B_0_2.dat;45;39;1430;0.269;1330;3.933
optim_instances/Instance_MAP5B_0_3.dat;45;39;760;0.509;660;20.886
optim_instances/Instance_MAP5B_1_1.dat;78;70;160;0.648;150;60.994
optim_instances/Instance_MAP5B_1_2.dat;78;70;720;1.218;520;6.201
optim_instances/Instance_MAP5B_1_3.dat;78;70;700;1.161;210;61.63
optim_instances/Instance_MAP5B_2_1.dat;101;115;220;0.711;220;61.413
optim_instances/Instance_MAP5B_2_2.dat;101;115;1700;4.668;840;19.832
optim_instances/Instance_MAP5B_2_3.dat;101;115;1080;3.552;480;64.444
optim_instances/Instance_MAP6B_0_1.dat;92;84;230;2.06;230;13.409
optim_instances/Instance_MAP6B_0_2.dat;92;84;3030;6.93;2540;14.273
optim_instances/Instance_MAP6B_0_3.dat;92;84;2410;3.732;830;65.126
optim_instances/Instance_MAP6B_1_1.dat;112;155;470;2.027;440;63.428
optim_instances/Instance_MAP6B_1_2.dat;112;155;2860;2.695;2750;22.195
optim_instances/Instance_MAP6B_1_3.dat;112;155;2550;8.702;2550;79.358
optim_instances/Instance_MAP6B_2_1.dat;181;175;580;105.967;520;1833.4
optim_instances/Instance_MAP6B_2_2.dat;181;175;5270;100.252;5270;386.413
optim_instances/Instance_MAP6B_2_3.dat;181;175;6210;101.914;6210;408.147
