Channels number ;3
Perturbation : 1.5
Instance name ;|I| ;|J|; H-inf value; H-inf time ; H-inf-reg value ; H-inf-reg time 
optim_instances/Instance_MAP3A_2_3.dat;73;62;3870;15.32;910;75.974
optim_instances/Instance_MAP4A_0_1.dat;26;38;40;0.054;40;0.054
optim_instances/Instance_MAP4A_0_2.dat;26;38;190;0.053;190;0.053
optim_instances/Instance_MAP4A_0_3.dat;26;38;240;0.136;40;0.619
optim_instances/Instance_MAP4A_1_1.dat;41;36;160;0.082;160;0.082
optim_instances/Instance_MAP4A_1_2.dat;41;36;1090;0.077;1090;0.077
optim_instances/Instance_MAP4A_1_3.dat;41;36;370;0.078;370;0.078
optim_instances/Instance_MAP4A_2_1.dat;56;41;180;0.226;180;3.71
optim_instances/Instance_MAP4A_2_2.dat;56;41;1220;0.148;1130;0.333
optim_instances/Instance_MAP4A_2_3.dat;56;41;190;0.486;90;1.626
optim_instances/Instance_MAP5A_0_1.dat;45;39;130;0.097;130;0.097
optim_instances/Instance_MAP5A_0_2.dat;45;39;1200;0.179;910;4.163
optim_instances/Instance_MAP5A_0_3.dat;45;39;670;0.709;670;5.201
optim_instances/Instance_MAP5A_1_1.dat;78;70;180;0.628;160;60.952
optim_instances/Instance_MAP5A_1_2.dat;78;70;980;0.611;700;6.689
optim_instances/Instance_MAP5A_1_3.dat;78;70;820;1.113;320;15.991
optim_instances/Instance_MAP5A_2_1.dat;101;115;210;0.42;210;0.42
optim_instances/Instance_MAP5A_2_2.dat;101;115;1500;1.776;740;15.689
optim_instances/Instance_MAP5A_2_3.dat;101;115;480;1.842;380;62.9
optim_instances/Instance_MAP6A_0_1.dat;92;84;320;5.962;320;16.992
optim_instances/Instance_MAP6A_0_2.dat;92;84;2420;2.622;1840;13.596
optim_instances/Instance_MAP6A_0_3.dat;92;84;3010;7.743;1810;68.774
optim_instances/Instance_MAP6A_1_1.dat;112;155;490;2.141;430;48.728
optim_instances/Instance_MAP6A_1_2.dat;112;155;3630;14.843;3620;65.54
optim_instances/Instance_MAP6A_1_3.dat;112;155;2960;7.351;2080;77.481
optim_instances/Instance_MAP6A_2_1.dat;181;175;700;101.075;460;1989.73
optim_instances/Instance_MAP6A_2_2.dat;181;175;5720;100.369;5720;387.726
optim_instances/Instance_MAP6A_2_3.dat;181;175;7690;577.693;7690;879.613
optim_instances/Instance_MAP1B_0_1.dat;19;13;30;0.069;30;0.07
optim_instances/Instance_MAP1B_0_2.dat;19;13;240;0.051;140;0.079
optim_instances/Instance_MAP1B_0_3.dat;19;13;30;0.039;30;0.039
optim_instances/Instance_MAP1B_1_1.dat;13;23;30;0.021;30;0.021
optim_instances/Instance_MAP1B_1_2.dat;13;23;50;0.025;50;0.025
optim_instances/Instance_MAP1B_1_3.dat;13;23;20;0.025;20;0.025
optim_instances/Instance_MAP1B_2_1.dat;30;24;50;0.061;40;0.653
optim_instances/Instance_MAP1B_2_2.dat;30;24;180;0.092;180;3.725
optim_instances/Instance_MAP1B_2_3.dat;30;24;440;0.47;40;1.006
optim_instances/Instance_MAP2B_0_1.dat;22;24;50;0.033;50;0.033
optim_instances/Instance_MAP2B_0_2.dat;22;24;380;0.056;280;0.104
optim_instances/Instance_MAP2B_0_3.dat;22;24;30;0.044;30;0.044
optim_instances/Instance_MAP2B_1_1.dat;39;35;100;0.083;100;0.083
optim_instances/Instance_MAP2B_1_2.dat;39;35;860;0.083;860;0.083
optim_instances/Instance_MAP2B_1_3.dat;39;35;60;0.28;60;0.28
optim_instances/Instance_MAP2B_2_1.dat;47;56;140;0.687;80;2.619
optim_instances/Instance_MAP2B_2_2.dat;47;56;460;0.235;460;5.163
optim_instances/Instance_MAP2B_2_3.dat;47;56;160;0.447;60;2.401
optim_instances/Instance_MAP3B_0_1.dat;18;25;50;0.029;50;0.029
optim_instances/Instance_MAP3B_0_2.dat;18;25;390;0.052;300;0.146
optim_instances/Instance_MAP3B_0_3.dat;18;25;30;0.394;30;0.394
optim_instances/Instance_MAP3B_1_1.dat;45;40;130;0.335;110;4.276
optim_instances/Instance_MAP3B_1_2.dat;45;40;1090;0.542;840;4.32
optim_instances/Instance_MAP3B_1_3.dat;45;40;2130;1.723;460;6.431
optim_instances/Instance_MAP3B_2_1.dat;73;62;330;1.837;180;62.409
optim_instances/Instance_MAP3B_2_2.dat;73;62;2530;0.952;2150;7.229
optim_instances/Instance_MAP3B_2_3.dat;73;62;3470;4.339;900;65.296
optim_instances/Instance_MAP4B_0_1.dat;26;38;60;0.053;60;0.054
optim_instances/Instance_MAP4B_0_2.dat;26;38;280;0.057;280;0.057
optim_instances/Instance_MAP4B_0_3.dat;26;38;140;0.077;40;0.758
optim_instances/Instance_MAP4B_1_1.dat;41;36;160;0.276;160;0.276
optim_instances/Instance_MAP4B_1_2.dat;41;36;1270;0.054;1270;0.054
optim_instances/Instance_MAP4B_1_3.dat;41;36;480;0.108;380;0.664
optim_instances/Instance_MAP4B_2_1.dat;56;41;200;0.155;200;0.155
optim_instances/Instance_MAP4B_2_2.dat;56;41;1440;0.297;1440;4.205
optim_instances/Instance_MAP4B_2_3.dat;56;41;190;0.531;100;5.382
optim_instances/Instance_MAP5B_0_1.dat;45;39;130;0.081;130;0.081
optim_instances/Instance_MAP5B_0_2.dat;45;39;1430;0.268;1240;4.388
optim_instances/Instance_MAP5B_0_3.dat;45;39;760;0.499;660;10.566
optim_instances/Instance_MAP5B_1_1.dat;78;70;160;0.611;150;61.081
optim_instances/Instance_MAP5B_1_2.dat;78;70;720;1.232;520;6.242
optim_instances/Instance_MAP5B_1_3.dat;78;70;700;1.262;210;61.71
optim_instances/Instance_MAP5B_2_1.dat;101;115;220;0.74;220;61.428
optim_instances/Instance_MAP5B_2_2.dat;101;115;1700;5.111;840;20.255
optim_instances/Instance_MAP5B_2_3.dat;101;115;1080;4.289;850;65.213
optim_instances/Instance_MAP6B_0_1.dat;92;84;230;1.622;230;13.9
optim_instances/Instance_MAP6B_0_2.dat;92;84;3030;6.709;2540;13.898
optim_instances/Instance_MAP6B_0_3.dat;92;84;2410;3.675;730;65.862
optim_instances/Instance_MAP6B_1_1.dat;112;155;470;2.004;440;61.629
optim_instances/Instance_MAP6B_1_2.dat;112;155;2860;2.598;2750;21.406
optim_instances/Instance_MAP6B_1_3.dat;112;155;2550;9.051;1860;74.462
optim_instances/Instance_MAP6B_2_1.dat;181;175;580;105.625;580;1767.07
optim_instances/Instance_MAP6B_2_2.dat;181;175;5170;100.265;5170;387.353
optim_instances/Instance_MAP6B_2_3.dat;181;175;6210;101.896;6210;408.261
